,Unnamed: 0,ID,Dirección Normalizada,COMUNA,XY (CABA),Longitud,Latitud,SEMESTRE
554,554,20200017,BELGRANO AV. y RINCON,3,Point (106159.7089575 101676.89316862),-58.39613805,-34.61413568,1
555,555,20200018,"UDAONDO, GUILLERMO AV. 901",13,Point (101309.75947342 109680.73260642),-58.44903073,-34.54200276,1
556,556,20200019,CONSTITUCION y CASTRO,5,Point (103995.88773205 100088.27591278),-58.41972364,-34.6284667,1
557,557,20200020,"PUEYRREDON AV. y GOMEZ, VALENTIN",3,Point (105281.81064188 102627.51469425),-58.40571596,-34.60557123,1
558,558,20200021,"BRAVO, MARIO 1279",2,Point (104475.21054309 103813.59469342),-58.4145159,-34.59488319,1
559,559,20200022,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,Point (99113.17852207 96319.06728520),-58.47297505,-34.66245085,1
560,560,20200023,"ARAOZ DE LAMADRID, GREGORIO, GRAL. y BROWN, ALTE. AV.",4,Point (109662.97469484 99142.83907419),-58.35791192,-34.63695178,1
561,561,20200024,MURGUIONDO 1339,9,Point (95900.63845367 97502.71514770),-58.50801713,-34.65177305,1
562,562,20200025,RIVADAVIA AV. 2551,3,Point (105568.73999229 102163.66359236),-58.40258477,-34.60975108,1
563,563,20200026,"LUGONES, LEOPOLDO AV.",14,Point (. .),-58.47534,-34.68757,1
564,564,20200027,"DELLEPIANE, LUIS, TTE. GRAL. y MONTIEL",8,Point (98224.62123059 93867.97738800),-58.48267426,-34.68454456,1
565,565,20200028,"SCALABRINI ORTIZ, RAUL AV. y WARNES AV.",15,Point (101908.88028543 103000.62674037),-58.44248936,-34.60221948,1
566,566,20200029,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",9,Point (93967.75484753 98933.33634522),-58.52909134,-34.63886726,1
567,567,20200030,SAN MARTIN AV. 1550,6,Point (101074.10089886 102529.69706887),-58.45158942,-34.6064658,1
568,568,20200031,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",9,Point (97236.89442427 96825.16279174),-58.49344309,-34.65788529,1
569,569,20200032,CORRIENTES AV. y SERRANO,15,Point (101899.62680853 103651.59621952),-58.44259166,-34.59635137,2
570,570,20200033,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,2
571,571,20200034,"MITRE, BARTOLOME y ANCHORENA, TOMAS MANUEL DE, DR.",3,Point (104725.24275395 102222.75498861),-58.41178158,-34.60922259,2
572,572,20200035,AUTOPISTA 25 DE MAYO y PUMACAHUA,7,Point (101156.55025059 99210.16912341),-58.45068621,-34.63638927,2
573,573,20200036,"SCALABRINI ORTIZ, RAUL AV. y PARAGUAY",14,Point (103956.90165674 104600.93056775),-58.42016954,-34.5877879,2
574,574,20200037,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,Point (102273.01728657 97084.66236498),-58.43850413,-34.65554754,2
575,575,20200038,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",14,Point (105241.05562982 105080.52102657),-58.40617526,-34.58345898,2
576,576,20200038,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",14,Point (105241.05562982 105080.52102657),-58.40617526,-34.58345898,2
577,577,20200039,MURGUIONDO,9,Point (. .),-58.47534,-34.68757,2
578,578,20200040,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,Point (107160.34141948 105678.38284277),-58.38526125,-34.5780581,2
579,579,20200041,"CURAPALIGUE y PERON, EVA AV.",7,Point (101448.28844783 99373.44893645),-58.4475047,-34.63491705,2
580,580,20200042,"DIAZ, ANA y SOLDADO DE LA FRONTERA AV.",8,Point (99619.02595373 94158.58480023),-58.46745752,-34.68192648,2
581,581,20200043,"ALEM, LEANDRO N. AV. y PARAGUAY",1,Point (108372.80843298 103556.18483992),-58.37202621,-34.59717942,2
582,582,20200044,LA PLATA AV. e INDEPENDENCIA AV.,6,Point (103255.81315650 100797.78656418),-58.42779702,-34.62207347,2
583,583,20200045,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,2
584,584,20200046,"NAZCA AV. y CARRANZA, ADOLFO P.",11,Point (98064.49909649 102385.10228515),-58.4844016,-34.60776782,2
585,585,20200047,AUTOPISTA PRESIDENTE HÃ‰CTOR J. CÃMPORA y LACARRA AV.,9,Point (99689.80114953 97506.41939342),-58.46668375,-34.65174801,2
586,586,20200048,DORREGO AV. 614,15,Point (101257.88680240 103998.57805569),-58.4495878,-34.59322448,2
587,587,20200049,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,Point (108069.68986814 104046.20018024),-58.37533517,-34.59276462,2
588,588,20200050,SANTA FE AV. y GODOY CRUZ,14,Point (103490.75904616 105613.31878847),-58.42525456,-34.57866344,2
589,589,20200051,AVELLANEDA AV. y MERCEDES,10,Point (98015.81258802 99939.73589695),-58.48493828,-34.62981124,2
590,590,20200052,TUCUMAN y PUEYRREDON AV.,3,Point (105365.60153004 103041.51356366),-58.40480504,-34.60183884,2
591,591,20200053,"ALCORTA, AMANCIO AV. y EINSTEIN, ALBERTO",4,Point (104770.59856807 97235.72066953),-58.41125934,-34.6541774,2
592,592,20200054,INCLAN y ALBERTI,4,Point (105844.27941538 99942.63399522),-58.39956546,-34.6297708,2
593,593,20200055,OLAZABAL AV. 5437,12,Point (97544.91851020 105610.70316243),-58.49005682,-34.5786897,2
594,594,20200056,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,2
595,595,20200057,"NAZCA AV. y VIALE, LUIS",11,Point (98925.55646359 101088.30104271),-58.4750156,-34.61945902,2
596,596,20200058,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,2
597,597,20200059,BRASIL 1100,1,Point (107682.84851121 100144.13011242),-58.3795169,-34.62794241,2
598,598,20200060,"HOMERO y PERON, EVA AV.",9,Point (98697.55944704 96954.54248093),-58.47750832,-34.65672199,2
599,599,20200061,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",13,Point (101287.58627255 109848.96522762),-58.44927253,-34.54048625,2
600,600,20200062,MORENO 1845,3,Point (106496.91403350 101854.18791210),-58.39246272,-34.61253541,2
601,601,20200063,NUEVA YORK y ALTA GRACIA,11,Point (94080.62190808 102083.62453795),-58.52783814,-34.61047001,2
602,602,20200063,NUEVA YORK y ALTA GRACIA,11,Point (94080.62190808 102083.62453795),-58.52783814,-34.61047001,2
603,603,20200065,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",12,Point (97243.88021302 108974.21974638),-58.49332664,-34.54836855,2
604,604,20200066,AUTOPISTA PERITO MORENO (ALTURA ESTACION DE TREN VILLA LURO),10,Point (96471.01552298 99259.49298489),-58.50178784,-34.63593897,2
605,605,20200067,SAENZ AV. y BEAZLEY,4,Point (104283.01090451 97171.08656182),-58.41657793,-34.65476216,2
606,606,20200068,DEL LIBERTADOR AV. y AUSTRIA,2,Point (106054.02111991 105122.19678820),-58.39731474,-34.58307887,2
607,607,20200069,"INDEPENDENCIA AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,Point (106954.95135245 101257.81371683),-58.38746381,-34.61790839,2
608,608,20200070,"CALLAO AV. y LAS HERAS, GENERAL",2,Point (106550.65433457 104158.41702434),-58.39189441,-34.59176378,2
609,609,20200071,SAN PEDRITO AV. y DIRECTORIO AV.,7,Point (99615.63172945 99306.93173343),-58.46749188,-34.63551751,2
610,610,20200072,"JUJUY AV. y CALVO, CARLOS",3,Point (105547.81747951 100901.07129086),-58.40280471,-34.62113271,2
611,611,20200073,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,2
612,612,20200074,BOGOTA y NAZCA AV.,7,Point (99284.33566289 100204.74520997),-58.47110424,-34.62742408,2
613,613,20200075,CORRIENTES AV. y 9 DE JULIO AV.,1,Point (107438.10136119 102829.30417800),-58.38220928,-34.60373898,2
614,614,20200076,ALVAREZ JONTE AV. y CHIVILCOY,10,Point (96822.61133430 101510.32578499),-58.49794468,-34.61565025,2
615,615,20200077,SAN MARTIN AV. y PUNTA ARENAS,15,Point (99182.71320106 103123.43585183),-58.47220945,-34.60111373,2
616,616,20200077,SAN MARTIN AV. y PUNTA ARENAS,15,Point (99182.71320106 103123.43585183),-58.47220945,-34.60111373,2
